smiles,compound_type,reason
C1COCCN1C2=NC(=CN3C2=NC(=C3)C#N)Br,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=NC3=CC=CC=C3NC2=O,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CN3CCCCC3=N2,monoamine,no free amine NH found
CC1=CC2=NC(=C(N2C=C1NC(=O)C)[N+](=O)[O-])C(=O)N/N=C/C3=CC=C(C=C3)N(C)C,monoamine,no free amine NH found
C1CCN(C1)C(=S)SCC(=O)NC2C3=CC=CC=C3C4=CC=CC=C24,monoamine,no free amine NH found
C1CCN(C1)C(=S)SCC(=O)NC2=NC=CS2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N\NC(=O)CC2=CC=CC3=C2CCCC3,monoamine,no free amine NH found
CCOC(=O)C1=CN2C=CN=C(C2=N1)N3CCOCC3,monoamine,no free amine NH found
CCOC(=O)C1=CN2C=CN=C(C2=N1)N3CCCCC3,monoamine,no free amine NH found
CCOC(=O)C1=CN2C=C(N=C(C2=N1)N3CCCCC3)Br,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)C=NCC2=CC=NC=C2,monoamine,no free amine NH found
COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)[O],monoamine,no free amine NH found
CC1(C=C(C(N1[O])(C)C)C(=O)O)C,monoamine,no free amine NH found
CC1(CC(CC(N1[O])(C)C)NC(=O)/C=C/C(=O)O)C,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C/C=NC2=CC(=C(C=C2OC)OC)Cl,monoamine,no free amine NH found
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)N2CCN(CC2)C,monoamine,no free amine NH found
CCOC(=O)CN1CCN(CC1)C(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,monoamine,no free amine NH found
C1CN(CCC1SC2=NC3=CC=CC=C3C=C2)CC4=C(C=C(C=C4)Cl)Cl,monoamine,no free amine NH found
CN(C)C1=NC=C(C=C1)C2=CN=CC=C2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=C(C=C2)OC)OC,monoamine,no free amine NH found
CC1=NN(C2=C1C(=O)C3=CC=CC=C3N2)CCCN(C)C,monoamine,no free amine NH found
CCN(CC)CCOC1=C(C=C(C=C1)Cl)C(=O)N,monoamine,no free amine NH found
